CLUSTER,30046-001,30046-002,30046-003,30046-004,30046-005,30046-006,30046-007,30046-009,30046-010,30046-011,30046-012,30046-013,30046-014,30046-015,30046-017,30046-018,30046-019,30046-020,30046-021,30046-022,30046-023
Cluster-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
Cluster-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Cluster-2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
Cluster-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Cluster-4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0
Cluster-5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Cluster-6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0
Cluster-7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4
Cluster-8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
Cluster-9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
Cluster-10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Cluster-11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7
Cluster-12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
Cluster-13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0
Cluster-14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
Cluster-15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0
Cluster-16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Cluster-17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
Cluster-18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Cluster-19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Cluster-20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,1,0
Cluster-21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Cluster-22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Cluster-23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
Cluster-24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0
Cluster-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,4
Cluster-26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,0,0,0
Cluster-27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,4
Cluster-28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0
Cluster-29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,0
Cluster-30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
Cluster-31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,4
Cluster-32.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
Cluster-33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,7
Cluster-34.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,2,0,2,0
Cluster-35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6
